cust_id,age,gender,city,loyalty_segment,preferred_channel,registration_date
1,50,Male,Sharjah,Silver,MobileApp,2024-06-29
2,20,Female,Abu Dhabi,Gold,Store,2024-12-03
3,55,Male,Dubai,Gold,Website,2023-09-18
4,25,Male,Abu Dhabi,Platinum,Store,2022-01-02
5,20,Female,Abu Dhabi,Silver,MobileApp,2021-09-13
6,30,Male,Dubai,Silver,Website,2025-03-29
7,45,Female,Abu Dhabi,Silver,MobileApp,2022-03-16
8,35,Female,Dubai,Silver,Store,2024-09-20
9,40,Male,Dubai,Platinum,Store,2025-07-12
10,35,Female,Sharjah,Silver,Website,2022-03-11
11,35,Male,Abu Dhabi,Silver,Amazon.ae,2022-11-21
12,40,Male,Sharjah,Silver,Store,2025-01-24
13,20,Female,Abu Dhabi,Silver,Store,2021-11-04
14,30,Male,Dubai,Silver,Store,2025-08-24
15,20,Female,Abu Dhabi,Silver,Website,2024-01-24
16,60,Female,Abu Dhabi,Silver,Store,2022-02-13
17,50,Female,Sharjah,Silver,MobileApp,2023-04-06
18,18,Male,Dubai,Platinum,Store,2024-04-06
19,35,Male,Sharjah,Silver,Store,2021-03-28
20,50,Female,Sharjah,Silver,Store,2021-01-03
21,20,Male,Abu Dhabi,Platinum,Website,2022-01-07
22,30,Male,Sharjah,Gold,Website,2025-04-01
23,50,Male,Dubai,Platinum,Store,2022-10-04
24,18,Male,Sharjah,Platinum,Amazon.ae,2023-11-13
25,35,Male,Abu Dhabi,Silver,Store,2021-04-08
26,25,Female,Dubai,Gold,MobileApp,2022-11-01
27,50,Female,Sharjah,Silver,Website,2025-03-26
28,55,Male,Dubai,Silver,Store,2021-11-17
29,50,Male,Dubai,Gold,MobileApp,2022-06-18
30,30,Male,Abu Dhabi,Silver,MobileApp,2023-03-31
31,45,Female,Dubai,Gold,Store,2022-01-02
32,40,Male,Dubai,Gold,Website,2024-04-22
33,25,Female,Sharjah,Silver,Store,2022-02-21
34,40,Male,Dubai,Gold,Website,2022-12-30
35,18,Female,Dubai,Silver,Store,2024-05-22
36,30,Male,Dubai,Silver,MobileApp,2023-04-28
37,20,Female,Dubai,Gold,Store,2022-11-01
38,20,Male,Abu Dhabi,Silver,Store,2024-05-18
39,18,Female,Abu Dhabi,Gold,Store,2021-05-13
40,35,Male,Sharjah,Silver,Store,2021-02-22
41,25,Female,Abu Dhabi,Silver,Website,2023-01-11
42,35,Female,Dubai,Gold,Store,2022-11-26
43,18,Male,Sharjah,Silver,MobileApp,2021-01-23
44,25,Female,Abu Dhabi,Silver,Store,2024-02-04
45,30,Female,Abu Dhabi,Silver,MobileApp,2025-06-15
46,40,Male,Abu Dhabi,Gold,Website,2025-07-13
47,25,Male,Sharjah,Silver,Noon,2022-04-05
48,35,Male,Abu Dhabi,Gold,Noon,2022-10-12
49,45,Female,Dubai,Silver,Amazon.ae,2022-04-27
50,35,Female,Abu Dhabi,Gold,MobileApp,2021-04-30
51,20,Male,Dubai,Platinum,Store,2022-11-04
52,18,Male,Dubai,Silver,MobileApp,2021-07-27
53,45,Female,Dubai,Silver,Noon,2021-11-14
54,18,Female,Dubai,Gold,Store,2021-12-04
55,45,Male,Dubai,Gold,Website,2021-06-04
56,30,Female,Dubai,Silver,Store,2023-05-18
57,50,Male,Abu Dhabi,Gold,Website,2024-03-24
58,40,Male,Sharjah,Gold,Website,2022-01-29
59,60,Female,Sharjah,Gold,Website,2022-05-20
60,25,Male,Dubai,Gold,Website,2023-08-29
61,40,Male,Abu Dhabi,Silver,Noon,2021-11-09
62,25,Male,Sharjah,Platinum,Website,2024-07-06
63,30,Female,Dubai,Silver,MobileApp,2024-03-26
64,35,Female,Abu Dhabi,Silver,Store,2021-01-14
65,45,Male,Abu Dhabi,Silver,Store,2021-03-18
66,60,Male,Dubai,Silver,Website,2024-09-24
67,40,Male,Sharjah,Silver,Store,2022-02-13
68,25,Female,Sharjah,Silver,Store,2022-01-29
69,25,Male,Dubai,Silver,Website,2021-08-08
70,35,Female,Dubai,Gold,Website,2023-01-14
71,20,Male,Dubai,Silver,Website,2022-03-09
72,20,Male,Dubai,Silver,Store,2023-03-17
73,25,Male,Abu Dhabi,Silver,Store,2025-01-18
74,25,Male,Abu Dhabi,Silver,Website,2025-08-05
75,25,Female,Dubai,Silver,Store,2024-03-09
76,20,Male,Sharjah,Silver,Store,2023-09-15
77,18,Male,Dubai,Platinum,Store,2025-03-02
78,18,Male,Dubai,Gold,Store,2022-10-16
79,60,Male,Dubai,Gold,Store,2025-07-23
80,25,Male,Abu Dhabi,Silver,Store,2023-03-28
81,25,Male,Dubai,Silver,Store,2025-04-03
82,35,Male,Dubai,Silver,Website,2023-01-25
83,20,Female,Dubai,Gold,Store,2022-11-07
84,50,Male,Sharjah,Silver,Store,2023-04-12
85,40,Male,Sharjah,Silver,Amazon.ae,2024-01-25
86,18,Female,Dubai,Silver,MobileApp,2021-01-28
87,25,Male,Dubai,Silver,Store,2023-09-15
88,45,Male,Abu Dhabi,Platinum,Amazon.ae,2024-06-07
89,50,Male,Abu Dhabi,Gold,Store,2022-02-20
90,30,Male,Dubai,Gold,Store,2025-01-19
91,35,Female,Sharjah,Silver,Noon,2021-01-25
92,20,Male,Abu Dhabi,Gold,Amazon.ae,2025-09-07
93,60,Female,Dubai,Gold,Website,2024-11-28
94,20,Male,Abu Dhabi,Platinum,Website,2022-11-04
95,50,Male,Sharjah,Silver,Website,2022-06-26
96,35,Female,Abu Dhabi,Silver,Store,2021-06-14
97,35,Male,Dubai,Gold,Store,2021-07-27
98,30,Female,Dubai,Silver,Website,2023-08-07
99,20,Male,Dubai,Gold,Amazon.ae,2023-09-12
100,20,Female,Dubai,Platinum,Store,2022-09-06
101,20,Male,Abu Dhabi,Silver,MobileApp,2022-01-08
102,20,Female,Sharjah,Silver,Store,2022-09-10
103,40,Male,Abu Dhabi,Silver,Website,2021-03-10
104,25,Female,Sharjah,Gold,Website,2025-03-24
105,18,Male,Dubai,Gold,Website,2025-07-17
106,55,Female,Sharjah,Silver,Store,2024-10-08
107,45,Male,Abu Dhabi,Silver,Store,2021-04-11
108,50,Female,Dubai,Silver,Website,2021-01-01
109,60,Male,Abu Dhabi,Gold,Store,2021-12-17
110,20,Male,Dubai,Silver,Store,2021-01-07
111,25,Male,Abu Dhabi,Silver,Website,2021-11-14
112,40,Male,Abu Dhabi,Gold,Website,2022-09-15
113,35,Male,Dubai,Silver,Store,2022-05-24
114,20,Female,Abu Dhabi,Silver,Website,2021-07-05
115,40,Female,Abu Dhabi,Silver,Amazon.ae,2022-12-29
116,20,Male,Dubai,Silver,Store,2022-04-07
117,20,Female,Dubai,Silver,Website,2021-12-09
118,30,Male,Dubai,Platinum,Store,2022-09-27
119,30,Male,Abu Dhabi,Gold,Store,2022-12-14
120,30,Female,Sharjah,Gold,Store,2023-10-29
121,18,Female,Sharjah,Platinum,Store,2022-07-30
122,45,Female,Abu Dhabi,Silver,MobileApp,2021-05-16
123,25,Male,Abu Dhabi,Silver,Store,2022-01-18
124,20,Female,Dubai,Silver,Website,2021-07-05
125,45,Male,Abu Dhabi,Gold,Store,2022-10-01
126,55,Male,Dubai,Gold,Store,2023-07-17
127,45,Male,Dubai,Silver,Website,2024-10-27
128,40,Female,Abu Dhabi,Silver,MobileApp,2023-08-22
129,35,Female,Dubai,Silver,MobileApp,2022-07-15
130,30,Female,Abu Dhabi,Silver,MobileApp,2024-04-04
131,18,Male,Sharjah,Gold,Store,2023-06-17
132,25,Male,Dubai,Silver,MobileApp,2022-10-01
133,25,Male,Dubai,Platinum,Store,2021-11-17
134,25,Male,Sharjah,Silver,MobileApp,2025-09-09
135,35,Male,Abu Dhabi,Gold,Amazon.ae,2025-10-05
136,30,Female,Dubai,Platinum,Store,2024-03-26
137,18,Male,Dubai,Platinum,Store,2023-05-08
138,20,Male,Abu Dhabi,Silver,Website,2025-10-21
139,35,Male,Abu Dhabi,Silver,MobileApp,2023-09-25
140,18,Male,Dubai,Silver,Store,2021-10-12
141,45,Male,Dubai,Silver,Noon,2023-11-18
142,30,Female,Sharjah,Gold,Website,2021-12-17
143,30,Female,Abu Dhabi,Platinum,Store,2021-03-24
144,30,Female,Sharjah,Silver,Store,2025-07-06
145,40,Male,Abu Dhabi,Silver,MobileApp,2022-10-28
146,25,Male,Sharjah,Silver,Store,2024-10-25
147,35,Male,Dubai,Gold,Store,2022-06-25
148,30,Female,Abu Dhabi,Platinum,Website,2024-11-19
149,25,Female,Dubai,Silver,Website,2022-04-25
150,45,Male,Abu Dhabi,Silver,Website,2021-08-01
151,40,Male,Dubai,Gold,Store,2025-06-26
152,35,Male,Dubai,Gold,MobileApp,2023-07-19
153,45,Female,Sharjah,Silver,Noon,2021-12-26
154,45,Female,Sharjah,Gold,Store,2021-08-02
155,35,Female,Dubai,Platinum,MobileApp,2021-10-31
156,40,Male,Abu Dhabi,Silver,Amazon.ae,2024-03-24
157,35,Male,Dubai,Silver,Website,2024-11-04
158,35,Male,Dubai,Silver,Website,2021-07-19
159,35,Male,Sharjah,Silver,Store,2025-08-31
160,40,Male,Dubai,Silver,Website,2021-08-26
161,20,Female,Sharjah,Silver,Website,2022-11-02
162,45,Female,Dubai,Silver,MobileApp,2025-09-25
163,45,Male,Abu Dhabi,Silver,Noon,2024-04-05
164,18,Female,Abu Dhabi,Silver,Store,2024-06-03
165,40,Male,Dubai,Silver,Store,2023-05-29
166,20,Male,Dubai,Gold,Store,2021-09-08
167,25,Male,Sharjah,Gold,MobileApp,2024-07-27
168,35,Male,Abu Dhabi,Silver,Store,2022-04-21
169,20,Male,Dubai,Silver,Website,2022-05-13
170,40,Male,Abu Dhabi,Gold,Store,2023-09-05
171,40,Male,Dubai,Silver,Website,2025-10-23
172,30,Female,Dubai,Platinum,Store,2025-04-08
173,18,Male,Dubai,Silver,Amazon.ae,2023-09-24
174,25,Male,Dubai,Gold,Website,2022-12-02
175,35,Male,Sharjah,Silver,Amazon.ae,2024-12-05
176,60,Female,Abu Dhabi,Gold,Website,2023-02-23
177,35,Male,Sharjah,Gold,Store,2022-03-05
178,25,Female,Abu Dhabi,Platinum,Store,2022-06-23
179,35,Male,Sharjah,Platinum,Noon,2023-06-20
180,30,Male,Abu Dhabi,Silver,MobileApp,2025-01-06
181,40,Female,Abu Dhabi,Silver,Store,2023-08-26
182,20,Male,Sharjah,Silver,MobileApp,2021-07-29
183,40,Male,Abu Dhabi,Silver,Store,2025-04-20
184,30,Male,Dubai,Silver,Store,2025-09-30
185,55,Female,Abu Dhabi,Gold,Store,2022-05-06
186,25,Male,Sharjah,Platinum,MobileApp,2022-04-16
187,35,Male,Abu Dhabi,Silver,Store,2025-09-06
188,50,Female,Abu Dhabi,Silver,Store,2025-10-20
189,20,Male,Abu Dhabi,Silver,Store,2022-07-22
190,50,Female,Sharjah,Gold,Store,2022-10-26
191,35,Female,Dubai,Silver,Website,2025-01-26
192,18,Male,Abu Dhabi,Platinum,Store,2022-07-04
193,25,Male,Dubai,Gold,Store,2025-02-09
194,35,Male,Abu Dhabi,Gold,Amazon.ae,2021-07-17
195,18,Female,Abu Dhabi,Silver,Store,2022-06-05
196,30,Female,Dubai,Silver,Store,2025-03-03
197,25,Female,Dubai,Platinum,Website,2025-03-15
198,35,Female,Abu Dhabi,Gold,Website,2025-09-10
199,18,Female,Dubai,Platinum,MobileApp,2024-09-10
200,45,Male,Dubai,Silver,Store,2022-11-19
201,55,Male,Sharjah,Gold,Amazon.ae,2022-04-12
202,55,Female,Dubai,Silver,MobileApp,2022-08-19
203,35,Male,Dubai,Gold,MobileApp,2021-05-19
204,20,Male,Sharjah,Gold,Store,2023-10-12
205,40,Female,Dubai,Gold,Store,2021-08-30
206,18,Male,Dubai,Gold,Website,2021-11-12
207,18,Female,Abu Dhabi,Silver,Amazon.ae,2022-10-29
208,25,Female,Abu Dhabi,Platinum,Website,2023-01-03
209,30,Male,Sharjah,Platinum,Store,2021-05-15
210,40,Female,Sharjah,Silver,Store,2024-04-26
211,35,Male,Abu Dhabi,Platinum,Website,2025-09-10
212,25,Male,Dubai,Silver,MobileApp,2022-08-02
213,25,Male,Dubai,Gold,Store,2023-12-29
214,60,Male,Dubai,Silver,Store,2022-03-15
215,25,Male,Dubai,Platinum,Store,2021-03-18
216,30,Male,Abu Dhabi,Silver,Website,2022-02-04
217,20,Male,Abu Dhabi,Silver,MobileApp,2022-01-09
218,40,Male,Dubai,Silver,MobileApp,2023-11-02
219,35,Female,Sharjah,Silver,Website,2025-02-19
220,20,Female,Dubai,Gold,Store,2023-01-28
221,18,Male,Dubai,Silver,Website,2023-01-19
222,35,Male,Abu Dhabi,Gold,Noon,2023-02-03
223,35,Male,Dubai,Platinum,Amazon.ae,2022-02-21
224,25,Male,Dubai,Gold,Amazon.ae,2021-07-26
225,55,Female,Dubai,Gold,Store,2021-12-07
226,20,Female,Dubai,Silver,MobileApp,2025-07-02
227,25,Male,Abu Dhabi,Silver,Amazon.ae,2022-12-22
228,50,Male,Sharjah,Silver,Website,2021-11-07
229,25,Male,Dubai,Silver,Store,2024-08-24
230,35,Female,Dubai,Platinum,Noon,2024-08-09
231,25,Male,Abu Dhabi,Silver,Website,2022-09-17
232,25,Female,Sharjah,Platinum,Store,2024-10-31
233,60,Female,Dubai,Silver,Store,2025-03-31
234,25,Male,Dubai,Gold,Website,2024-09-25
235,45,Female,Abu Dhabi,Silver,Store,2021-03-24
236,20,Female,Abu Dhabi,Silver,Store,2025-05-20
237,20,Female,Dubai,Gold,MobileApp,2025-01-15
238,18,Male,Abu Dhabi,Silver,MobileApp,2023-10-24
239,35,Male,Dubai,Gold,MobileApp,2025-01-19
240,25,Female,Abu Dhabi,Silver,Store,2023-05-23
241,45,Female,Abu Dhabi,Silver,Website,2021-08-24
242,30,Female,Sharjah,Platinum,Store,2022-01-24
243,55,Female,Dubai,Silver,Store,2022-01-28
244,20,Female,Dubai,Gold,Store,2025-07-23
245,45,Female,Dubai,Silver,MobileApp,2023-01-17
246,40,Male,Sharjah,Gold,Store,2021-01-30
247,40,Male,Dubai,Silver,Store,2025-05-26
248,40,Female,Dubai,Silver,Store,2023-09-09
249,40,Female,Dubai,Silver,Website,2024-03-17
250,35,Female,Abu Dhabi,Silver,Amazon.ae,2022-08-28
251,20,Male,Dubai,Silver,Amazon.ae,2021-10-10
252,18,Female,Dubai,Gold,Store,2025-10-19
253,50,Female,Dubai,Gold,Store,2021-08-26
254,35,Male,Sharjah,Silver,Store,2025-10-29
255,40,Male,Abu Dhabi,Silver,MobileApp,2023-01-01
256,30,Male,Abu Dhabi,Silver,Store,2024-09-04
257,20,Male,Sharjah,Silver,Store,2024-09-22
258,20,Male,Sharjah,Silver,Website,2021-01-31
259,35,Male,Dubai,Silver,Store,2023-09-05
260,25,Male,Sharjah,Platinum,Store,2023-07-04
261,20,Female,Dubai,Gold,Store,2025-07-08
262,30,Female,Dubai,Silver,Store,2025-06-26
