datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday_Name,Day,Week,Weekend,M01AB_Lag1,M01AB_MA7
2014-01-02,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,2014,1,248,Thursday,2,1,0,0.0,0.0
2014-01-03,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,2014,1,276,Friday,3,1,0,0.0,0.0
2014-01-04,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2014,1,276,Saturday,4,1,1,8.0,0.0
2014-01-05,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,2014,1,276,Sunday,5,1,1,2.0,0.0
2014-01-06,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,2014,1,276,Monday,6,2,0,4.0,0.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,1,276,Tuesday,7,2,0,5.0,0.0
2014-01-08,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,2014,1,276,Wednesday,8,2,0,0.0,3.4757142857142855
2014-01-09,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,2014,1,276,Thursday,9,2,0,5.33,4.475714285714285
2014-01-10,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,2014,1,276,Friday,10,2,0,7.0,4.047142857142857
2014-01-11,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,2014,1,276,Saturday,11,2,1,5.0,4.475714285714285
2014-01-12,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2014,1,276,Sunday,12,2,1,5.0,4.1899999999999995
2014-01-13,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,2014,1,276,Monday,13,3,0,2.0,4.524285714285715
2014-01-14,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,2014,1,276,Tuesday,14,3,0,7.34,5.381428571428572
2014-01-15,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,2014,1,276,Wednesday,15,3,0,6.0,5.191428571428572
2014-01-16,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,2014,1,276,Thursday,16,3,0,4.0,5.048571428571429
2014-01-17,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2014,1,276,Friday,17,3,0,6.0,4.62
2014-01-18,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,2014,1,276,Saturday,18,3,1,2.0,4.048571428571429
2014-01-19,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,2014,1,276,Sunday,19,3,1,1.0,4.381428571428572
2014-01-20,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,2014,1,276,Monday,20,4,0,4.33,4.1899999999999995
2014-01-21,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2014,1,276,Tuesday,21,4,0,6.0,3.6185714285714283
2014-01-22,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,2014,1,276,Wednesday,22,4,0,2.0,4.047142857142857
